,Title,Summary,Published On
81,"US infrastructure is crumbling, and it needs lots of federal money to fix it: Civil engineer group","In a recent interview with CNBC, the head of the American Society of Civil Engineers said that Elon Musk&#039;s ambitious idea to drill a tunnel below Los Angeles is no pipe dream, but it needs big money to happen.",2019-02-03 18:44:00Z
82,Beijing has been 'ineffective' in reviving its slowing economy: JP Morgan,J.P. Morgan Private Bank&#039;s head of investment strategy for Asia says &quot;we&#039;re probably going to see more incrementalism&quot; out of Beijing.,2019-02-04 03:14:00Z
83,Brexit is a revolt against a German-run European super-state,"The German trade surplus is stifling the economic growth in the rest of Europe, Michael Ivanovitch writes.",2019-02-04 06:28:00Z
84,A 'baby bear' market scared the Fed into pausing and history shows that can lead to big comebacks,"Over more than three decades and four Fed chiefs, there have been a half-dozen sharp market downturns that forced central bankers to pause tightening programs or even to ease policy.",2019-02-04 12:59:00Z
85,"Three options strategies for the week: February 4, 2019",The &quot;Options Action&quot; traders share which stocks they&#039;re watching this week.,2019-02-04 14:20:00Z
86,"Stocks making the biggest moves midday: Papa John's, Sysco, Clorox & more",Names on the move ahead of the open.,2019-02-04 16:57:00Z
87,This map shows where apparel retailer Charlotte Russe is closing 94 stores,"Apparel retailer Charlotte Russe filed for Chapter 11 bankruptcy protection on Sunday, saying it plans to close nearly 100 stores. Here&#039;s where they are.",2019-02-04 19:56:00Z
88,"Boeing shares hit another record, bucking China slowdown concerns: 'Things are just heating up'","Boeing shares are soaring to begin 2019, rising to an all-time high a few days after the company reported booming fourth-quarter results.",2019-02-04 20:47:00Z
89,"Sanders and Schumer's buyback plan is treating the wrong problem, says economist","A new proposal to restrict corporate buybacks is treating the symptom instead of the cause � and could result in companies shutting down in the U.S., says economist Diane Swonk.",2019-02-04 23:38:00Z
90,China success for Western firms will be down to the 'desirability of the brand',"While data points to an economic slowdown in China, results from the likes of Louis Vuitton parent LVMH show a different picture.",2019-02-05 07:18:00Z
91,UN warns of currency wars and widespread protectionism if trade conflict escalates,A report published on Monday by the UN Conference on Trade and Development outlined the potential impact of increased tariffs between the U.S. and China.,2019-02-05 11:03:00Z
92,Here's what investors should watch for in Trump's State of the Union,"Investors will be looking for clues about U.S.-China trade talks, drug pricing and possible infrastructure spending measures.",2019-02-05 12:43:00Z
93,"Stocks making the biggest moves premarket: Viacom, Centene, Merck, Alphabet & more",Names on the move ahead of the open.,2019-02-05 12:49:00Z
94,The Fed's next rate move is more likely a cut than a hike: Economist Mohamed El-Erian,"The Fed is likely to hold interest rates steady for the entire year after hiking four times in 2018, predicts the Allianz chief economic advisor.",2019-02-05 14:06:00Z
95,"Your first trade for Tuesday, February 5",The &quot;Fast Money&quot; traders share their first moves for the market open.,2019-02-05 14:13:00Z
96,"Goldman Sachs: If you missed the January rally, you likely missed the 2019 gain","Goldman Sachs is forecasting slower growth and profits for the rest of the year, which could be bad news for investors who missed January&#039;s rally.",2019-02-05 15:16:00Z
97,"Retail sales expected to climb as much as 4.4 percent in 2019, retail industry trade group says","The National Retail Federation also says its preliminary estimate for retail sales growth in 2018 is 4.6 percent, pending the release of December data from the Commerce Department.",2019-02-05 16:04:00Z
98,"Stocks making the biggest moves midday: Estee Lauder, Ralph Lauren, Alphabet & more",Names on the move ahead of the open.,2019-02-05 16:55:00Z
99,Home values are rising at the slowest rate in more than six years,"Home prices rose 4.7 percent in December, according to CoreLogic. That is the smallest annual gain since August 2012. Prices are still rising because of the shortage of homes for sale, especially on the lower end of the market.",2019-02-05 18:15:00Z
100,The state of housing demand is suddenly strong again � but it could be temporary,"After ending 2018 in a serious slump, demand for housing is suddenly soaring again, thanks to a drop in mortgage rates which could be temporary.",2019-02-05 17:55:00Z
101,Asia shares mostly up ahead of Trump's State of the Union address,Japanese stocks gained in early trade while most major Asian markets remained closed for holidays.,2019-02-05 23:40:00Z
102,Weekly mortgage applications fall 2.5% despite a sharp drop in rates,"Mortgage demand continued to weaken, with homebuyers retreating the most last week.",2019-02-06 12:01:00Z
103,"Steven Mnuchin says trade talks 'very productive' so far, confirms he's headed to Beijing next week",,2019-02-06 13:06:00Z
104,Mnuchin says Trump's economic plan is working and 'we're not going back to socialism',Treasury Secretary Steven Mnuchin spoke with CNBC&#039;s &quot;Squawk Box&quot; Wednesday morning.,2019-02-06 13:10:00Z
105,Mnuchin says Fed Chief Powell gave Trump an overview of the economy at White House dinner,Treasury Secretary Steven Mnuchin spoke to CNBC&#039;s &quot;Squawk Box&quot; on Wednesday.,2019-02-06 13:19:00Z
106,US trade deficit narrows much more than expected in a win for Trump,"The gap had closed in November to $49.3 billion from $55.7 billion in October, representing an 11.5 percent decline.",2019-02-06 13:59:00Z
107,"Your first trade for Wednesday, February 6",The &quot;Fast Money&quot; traders share their first moves for the market open.,2019-02-06 14:23:00Z
108,"US oil heads to China, but it's too early to declare victory in the trade war","The first U.S. oil shipments to China in months will reach their destinations just days from now, punctuating a pledge by President Donald Trump that China would buy more American products.",2019-02-06 16:28:00Z
